Counter,Time,Bin 5,Pressure,Bin 4,PM10,SFR,Bin 8,Bin 15,Bin 6,Bin 3,Bin 2,Bin3 MToF,Bin5 MToF,Bin 9,Bin 14,Bin 12,Checksum,Sampling Period,PM1,PM2.5,Bin 7,Temperature,Bin7 MToF,Bin 1,Bin 11,Bin1 MToF,Bin 0,Bin 13,Bin 10
19,10.795635461807251,1,,0,40.64156723022461,3.999582290649414,0,0,0,1,11,8.333333333333334,9.0,0,0,0,164,0.5033599734306335,34.8303337097168,40.44016647338867,0,,0.0,26,0,6.333333333333333,125,0,0
20,11.401028633117676,1,,0,59.97380828857422,3.954543352127075,0,0,1,2,10,8.0,7.666666666666667,0,0,0,242,0.5047039985656738,51.20735168457031,58.917972564697266,0,,0.0,44,0,6.333333333333333,184,0,0
21,11.99903416633606,0,,4,101.38899993896484,4.144189357757568,0,0,2,2,29,8.666666666666666,0.0,0,0,0,402,0.5034880042076111,83.74458312988281,99.48385620117188,0,,0.0,75,0,5.666666666666667,290,0,0
22,12.59926986694336,0,,0,76.86658477783203,4.12925386428833,0,0,0,7,23,7.0,0.0,0,0,0,319,0.504256010055542,65.5625991821289,76.68108367919922,0,,0.0,49,0,6.0,240,0,0
23,13.197535514831543,0,,0,72.7214126586914,4.228011608123779,0,0,0,1,24,7.666666666666667,0.0,0,0,0,307,0.5035093426704407,62.74497604370117,72.60472869873047,0,,0.0,50,0,5.666666666666667,232,0,0
24,13.79750657081604,0,,0,68.16790771484375,4.279980182647705,0,0,1,3,12,6.333333333333333,0.0,0,0,0,312,0.5042986869812012,59.56233596801758,67.3005599975586,0,,0.0,44,0,5.666666666666667,252,0,0
25,14.395936012268066,0,,3,61.703121185302734,4.207823276519775,0,0,0,3,11,7.333333333333333,0.0,0,0,0,276,0.5035520195960999,54.029319763183594,61.512535095214844,0,,0.0,43,0,6.0,216,0,0
26,15.0097336769104,0,,0,99.61515045166016,4.045231342315674,0,0,1,2,22,7.0,0.0,0,0,0,408,0.5043200254440308,86.1052017211914,98.66178894042969,0,,0.0,76,0,6.333333333333333,307,0,0
27,15.607845783233643,0,,2,117.27110290527344,4.077905178070068,0,0,1,6,20,7.666666666666667,0.0,0,0,0,477,0.5034453272819519,100.90203857421875,116.20707702636719,0,,0.0,108,0,6.0,340,0,0
28,16.218931436538696,0,,0,121.60774993896484,3.9842169284820557,0,0,0,3,46,7.333333333333333,0.0,0,0,0,463,0.50408536195755,102.58356475830078,121.36103820800781,0,,0.0,79,0,6.333333333333333,335,0,0
29,16.81903052330017,0,,2,113.96106719970703,4.160425186157227,0,0,0,6,26,7.333333333333333,0.0,0,0,0,486,0.5037866830825806,98.98819732666016,113.69940185546875,0,,0.0,86,0,5.666666666666667,366,0,0
30,17.43349027633667,0,,0,78.34223175048828,4.023199081420898,0,0,0,1,14,7.666666666666667,0.0,0,0,0,327,0.5039786696434021,69.54179382324219,78.25849914550781,0,,0.0,66,0,6.333333333333333,246,0,0
31,18.032087087631226,0,,0,55.81452941894531,3.9700429439544678,0,0,0,3,13,7.333333333333333,0.0,0,0,0,225,0.5035733580589294,48.4780387878418,55.71439743041992,0,,0.0,41,0,6.333333333333333,168,0,0
32,18.64058566093445,1,,0,88.55062103271484,3.9362170696258545,0,0,0,2,23,7.666666666666667,9.0,0,0,0,364,0.5040640234947205,77.09434509277344,88.27792358398438,0,,0.0,48,0,6.333333333333333,290,0,0
33,19.252782821655273,0,,0,193.42034912109375,4.134103775024414,0,0,1,8,40,7.0,0.0,0,0,0,794,0.5035733580589294,167.39511108398438,192.32281494140625,0,,0.0,179,0,5.666666666666667,566,0,0
34,19.851524353027344,0,,1,175.80409240722656,4.122575759887695,0,0,1,9,38,7.333333333333333,0.0,0,0,0,720,0.5041279792785645,151.24481201171875,174.67039489746094,0,,0.0,155,0,6.0,516,0,0
35,20.44995927810669,0,,0,169.14276123046875,4.116835594177246,0,0,0,7,36,6.666666666666667,0.0,0,0,0,701,0.5036159753799438,147.6775360107422,168.8839874267578,0,,0.0,150,0,6.0,508,0,0
36,21.050267457962036,0,,2,144.42129516601562,4.11397123336792,0,0,1,4,34,7.333333333333333,0.0,0,0,0,591,0.5045120120048523,124.00338745117188,143.33273315429688,0,,0.0,120,0,6.0,430,0,0
37,21.648270845413208,0,,0,188.6001739501953,4.1125407218933105,0,0,1,5,53,7.333333333333333,0.0,0,0,0,758,0.5038719773292542,161.30343627929688,187.48452758789062,0,,0.0,153,0,6.0,546,0,0
38,22.249470472335815,2,,1,187.30398559570312,4.111825942993164,0,0,1,12,45,8.0,8.666666666666666,0,0,0,755,0.5042346715927124,158.8577117919922,185.83590698242188,0,,0.0,157,0,6.0,537,0,0
39,22.84743905067444,0,,1,176.8279571533203,4.111468315124512,0,0,0,6,46,6.666666666666667,0.0,0,0,0,716,0.5037226676940918,152.564208984375,176.5040740966797,0,,0.0,152,0,6.0,511,0,0
40,23.449226140975952,0,,0,248.26698303222656,4.228760242462158,0,0,0,12,66,7.666666666666667,0.0,0,0,0,1040,0.5044906735420227,214.24147033691406,247.8267059326172,0,,0.0,215,0,5.666666666666667,747,0,0
41,24.056264638900757,0,,1,187.81324768066406,4.289952278137207,0,0,1,8,56,6.666666666666667,0.0,0,0,0,772,0.5038080215454102,159.16026306152344,186.66127014160156,0,,0.0,169,0,5.666666666666667,537,0,0
42,24.670790195465088,0,,0,161.62710571289062,4.321217060089111,0,0,0,9,36,9.0,0.0,0,0,0,705,0.5041919946670532,140.84629821777344,161.35877990722656,0,,0.0,148,0,5.666666666666667,512,0,0
43,25.270456075668335,0,,0,246.97889709472656,4.3370208740234375,0,0,1,19,79,7.666666666666667,0.0,0,0,0,996,0.5034666657447815,206.70704650878906,245.64707946777344,0,,0.0,240,0,5.666666666666667,657,0,0
