Counter,Time,SFR,Bin 6,Bin 11,Bin 1,Bin 7,Bin 5,Bin 15,Bin7 MToF,Bin 12,Bin1 MToF,Bin5 MToF,Bin 2,Pressure,PM1,Temperature,Bin 14,Sampling Period,Bin3 MToF,Bin 3,Bin 13,Bin 8,PM10,Bin 4,Bin 10,PM2.5,Bin 9,Bin 0,Checksum
30,17.439379692077637,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19415636360645294,,0,0.5035946369171143,0.0,0,0,0,0.19970230758190155,0,0,0.1996987909078598,0,1,1
31,18.039695501327515,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5043413043022156,0.0,0,0,0,0.0,0,0,0.0,0,0,0
32,18.640689373016357,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5037013292312622,0.0,0,0,0,0.0,0,0,0.0,0,0,0
33,19.240579843521118,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19387710094451904,,0,0.5043200254440308,0.0,0,0,0,0.19941507279872894,0,0,0.1994115561246872,0,1,1
34,19.839247941970825,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5039786696434021,0.0,0,0,0,0.0,0,0,0.0,0,0,0
35,20.43940544128418,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5050453543663025,0.0,0,0,0,0.0,0,0,0.0,0,0,0
36,21.040127992630005,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.19403307139873505,,0,0.5039146542549133,0.0,0,0,0,0.1995754837989807,0,0,0.19957196712493896,0,1,1
37,21.645121097564697,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5047039985656738,0.0,0,0,0,0.0,0,0,0.0,0,0,0
38,22.24703073501587,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5038293600082397,0.0,0,0,0,0.0,0,0,0.0,0,0,0
39,22.849515438079834,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5046399831771851,0.0,0,0,0,0.0,0,0,0.0,0,0,0
40,23.447307348251343,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5034239888191223,0.0,0,0,0,0.0,0,0,0.0,0,0,0
41,24.046042680740356,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5041919946670532,0.0,0,0,0,0.0,0,0,0.0,0,0,0
42,24.644700527191162,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.5035520195960999,0.0,0,0,0,0.0,0,0,0.0,0,0,0
43,25.243449449539185,3.714062213897705,0,0,0,0,0,0,0.0,0,0.0,0.0,0,,0.0,,0,0.504149317741394,0.0,0,0,0,0.0,0,0,0.0,0,0,0
