time,counter,Bin 7,Bin 15,Bin 5,Bin7 MToF,Bin 4,Bin 0,Bin 6,SFR,Bin 10,Bin3 MToF,Checksum,PM2.5,Bin 8,Sampling Period,Bin 11,Pressure,Bin 14,Bin 1,PM1,Bin5 MToF,Bin 13,Bin 2,Bin 12,Bin 9,Temperature,Bin 3,PM10,Bin1 MToF
0.0001518726348876953,1,0,0,0,0.0,1,169,2,3.373967409133911,0,7.666666666666667,215,0.6155530214309692,0,50.00896072387695,0,,0,32,0.5285342335700989,0.0,0,10,0,0,,1,0.636610746383667,7.666666666666667
0.5999457836151123,2,0,0,0,0.0,0,2,0,3.3712780475616455,0,0.0,3,0.8677500486373901,0,0.5049386620521545,0,,0,1,0.7902710437774658,0.0,0,0,0,0,,0,0.8679802417755127,7.666666666666667
1.1996901035308838,3,0,0,0,0.0,0,3,0,3.3712780475616455,0,0.0,3,0.659061849117279,0,0.5043200254440308,0,,0,0,0.6407703161239624,0.0,0,0,0,0,,0,0.6590734720230103,0.0
1.8098766803741455,4,0,0,0,0.0,0,4,0,3.366084575653076,0,0.0,6,1.7289737462997437,0,0.5076266527175903,0,,0,2,1.5745985507965088,0.0,0,0,0,0,,0,1.7294323444366455,7.666666666666667
2.419404983520508,5,0,0,0,0.0,0,3,0,3.366084575653076,0,0.0,3,0.6567450165748596,0,0.506879985332489,0,,0,0,0.6385177969932556,0.0,0,0,0,0,,0,0.656756579875946,0.0
3.0184614658355713,6,0,0,0,0.0,0,2,0,3.3585312366485596,0,0.0,3,0.8718169331550598,0,0.5044906735420227,0,,0,1,0.7939748167991638,0.0,0,0,0,0,,0,0.8720481991767883,8.333333333333334
3.6274807453155518,7,0,0,0,0.0,0,0,0,3.3611156940460205,0,0.0,1,0.4284907877445221,0,0.5069653391838074,0,,0,1,0.3632556200027466,0.0,0,0,0,0,,0,0.42871302366256714,7.0
4.228048086166382,8,0,0,0,0.0,0,1,0,3.3686821460723877,0,0.0,2,0.6482290029525757,0,0.505407989025116,0,,0,1,0.5768510699272156,0.0,0,0,0,0,,0,0.6484553217887878,6.333333333333333
4.828390836715698,9,0,0,0,0.0,0,4,0,3.3686821460723877,0,0.0,4,0.8772739171981812,0,0.5055573582649231,0,,0,0,0.8529261350631714,0.0,0,0,0,0,,0,0.8772894144058228,0.0
5.431476354598999,10,0,0,0,0.0,0,1,0,3.3686821460723877,0,0.0,1,0.21825017035007477,0,0.5080320239067078,0,,0,0,0.21219287812709808,0.0,0,0,0,0,,0,0.21825401484966278,0.0
6.030503749847412,11,0,0,0,0.0,0,1,0,3.3686821460723877,0,0.0,1,0.21980080008506775,0,0.5044479966163635,0,,0,0,0.21370047330856323,0.0,0,0,0,0,,0,0.21980467438697815,0.0
6.6341845989227295,12,0,0,0,0.0,0,2,0,3.3686821460723877,0,0.0,2,0.4358780086040497,0,0.5087573528289795,0,,0,0,0.4237807095050812,0.0,0,0,0,0,,0,0.4358856976032257,0.0
7.234944820404053,13,0,0,0,0.0,0,4,1,3.3686821460723877,0,0.0,5,1.8108866214752197,0,0.5056213140487671,0,,0,0,0.8737132549285889,0.0,0,0,0,0,,0,2.7964682579040527,0.0
7.839063882827759,14,0,0,0,0.0,0,6,0,3.412827491760254,0,0.0,10,3.288234233856201,0,0.5089280009269714,0,,0,3,2.758768081665039,0.0,0,1,0,0,,0,3.293792963027954,5.333333333333333
8.437599897384644,15,0,0,0,0.0,0,2,0,3.4249534606933594,0,0.0,3,0.856502890586853,0,0.5035520195960999,0,,0,1,0.7800281047821045,0.0,0,0,0,0,,0,0.856730043888092,5.666666666666667
9.037949085235596,16,0,0,0,0.0,0,7,0,3.442207098007202,0,0.0,8,1.9253300428390503,0,0.5046826601028442,0,,0,1,1.8195726871490479,0.0,0,0,0,0,,0,1.9255744218826294,5.0
9.637835502624512,17,0,0,0,0.0,0,7,0,3.476099729537964,0,0.0,10,3.0480053424835205,0,0.5053866505622864,0,,0,2,2.5819075107574463,0.0,0,1,0,0,,0,3.0532891750335693,5.0
10.23745322227478,18,0,0,0,0.0,0,2,2,3.476099729537964,0,0.0,4,2.238924741744995,0,0.5046826601028442,0,,0,0,0.4545747637748718,0.0,0,0,0,0,,0,4.152706146240234,0.0
10.844323873519897,19,1,0,0,8.333333333333334,0,8,3,3.5038599967956543,0,0.0,13,5.764372825622559,0,0.5047039985656738,0,,0,1,2.0579893589019775,0.0,0,0,0,0,,0,12.366426467895508,3.6666666666666665
11.442288637161255,20,0,0,0,0.0,0,9,6,3.5423812866210938,0,0.0,17,8.048629760742188,0,0.5038080215454102,0,,0,2,2.644625425338745,0.0,0,0,0,0,,0,13.692763328552246,4.666666666666667
12.04304838180542,21,0,0,0,0.0,0,7,3,3.5823118686676025,0,0.0,13,5.291611194610596,0,0.5051733255386353,0,,0,3,2.489778995513916,0.0,0,0,0,0,,0,8.075106620788574,5.333333333333333
12.643076658248901,22,0,0,1,0.0,1,7,9,3.5823118686676025,0,0.0,19,11.003249168395996,0,0.5046826601028442,0,,0,0,2.123289108276367,12.333333333333334,0,1,0,0,,0,19.558338165283203,0.0
13.252908706665039,23,1,0,0,8.333333333333334,0,12,7,3.5927388668060303,0,0.0,21,9.747639656066895,0,0.515392005443573,0,,0,1,2.8268117904663086,0.0,0,0,0,0,,0,19.67919158935547,5.666666666666667
13.856496334075928,24,0,0,4,0.0,0,31,6,3.677515745162964,0,7.0,46,15.316620826721191,0,0.50845867395401,0,,0,4,7.767199516296387,10.0,0,0,0,0,,1,21.309886932373047,4.333333333333333
