time,counter,Bin 10,Bin 13,Bin5 MToF,Bin 9,Bin 12,Bin 15,Bin 14,Pressure,Bin 8,Bin 7,SFR,PM2.5,PM10,Bin 2,Bin 3,Checksum,Bin7 MToF,Bin 5,Bin 4,Bin 11,Sampling Period,Bin1 MToF,Bin 1,Bin 6,PM1,Temperature,Bin 0,Bin3 MToF
657.8976769447327,1092,0,0,19.0,0,0,0,0,,0,1,3.795233726501465,29.89500617980957,38.7725830078125,1,1,115,11.0,1,0,0,0.5053226947784424,6.333333333333333,11,6,22.026470184326172,,94,7.666666666666667
658.4966173171997,1093,0,0,0.0,0,0,0,0,,0,2,3.7346723079681396,31.782535552978516,45.09574890136719,3,1,107,15.666666666666666,0,0,0,0.5045120120048523,7.0,16,7,21.758792877197266,,78,8.333333333333334
659.1108391284943,1094,0,0,10.333333333333334,0,0,0,0,,0,0,3.7586045265197754,33.55059051513672,43.4028434753418,1,1,120,0.0,1,0,0,0.5071573257446289,6.333333333333333,11,11,22.440095901489258,,95,9.0
659.7101409435272,1095,0,0,0.0,0,0,0,0,,0,0,3.7864675521850586,32.52414321899414,42.20429229736328,3,0,108,0.0,0,0,0,0.5046613216400146,6.333333333333333,16,11,21.397476196289062,,78,0.0
660.3115015029907,1096,0,0,0.0,0,0,0,0,,0,0,3.7171993255615234,39.781455993652344,50.55409240722656,2,2,135,0.0,0,1,0,0.5067306756973267,7.0,20,12,26.81636619567871,,98,6.333333333333333
660.9141156673431,1097,0,0,13.0,0,0,0,0,,0,0,3.6790008544921875,36.323238372802734,43.86214065551758,4,1,128,0.0,2,0,0,0.506496012210846,7.0,14,8,25.93706512451172,,99,7.666666666666667
661.514778137207,1098,0,0,11.0,0,0,0,0,,0,0,3.682238817214966,37.14421844482422,46.35038375854492,8,0,121,0.0,1,0,0,0.5055146813392639,6.666666666666667,11,10,24.8966064453125,,91,0.0
662.1149785518646,1099,0,0,15.666666666666666,0,0,0,0,,0,0,3.628983736038208,37.993473052978516,42.906219482421875,4,1,146,0.0,2,0,0,0.5054293274879456,7.333333333333333,11,5,30.03112030029297,,123,9.0
662.7185757160187,1100,0,0,17.666666666666668,0,0,0,0,,0,0,3.6444272994995117,49.48910903930664,62.63137435913086,4,0,168,0.0,2,1,0,0.5046399831771851,6.666666666666667,17,14,33.472076416015625,,130,0.0
663.3164038658142,1101,0,0,15.0,0,0,0,0,,0,0,3.7039389610290527,41.86764907836914,51.04679870605469,2,1,150,0.0,1,0,0,0.5033599734306335,6.333333333333333,20,10,30.407682418823242,,116,7.0
663.914470911026,1102,0,0,17.0,0,0,0,0,,0,0,3.702953338623047,50.35674285888672,61.34148406982422,6,0,177,0.0,1,0,0,0.5035093426704407,6.666666666666667,20,12,36.2254638671875,,138,0.0
664.5138728618622,1103,0,0,0.0,0,0,0,0,,0,0,3.7020840644836426,47.602439880371094,58.462677001953125,6,1,159,0.0,0,1,0,0.5049813389778137,6.666666666666667,25,12,33.27414321899414,,114,8.333333333333334
665.1141967773438,1104,0,0,18.333333333333332,0,0,0,0,,0,0,3.7016029357910156,51.903465270996094,68.27838134765625,6,2,166,0.0,1,0,0,0.5048533082008362,6.666666666666667,18,18,32.54200744628906,,121,9.0
665.7148337364197,1105,0,0,0.0,0,0,0,0,,0,1,3.701202154159546,48.37621307373047,61.8453254699707,4,1,173,11.0,0,0,0,0.504917323589325,6.666666666666667,20,11,35.009498596191406,,136,9.0
666.3137588500977,1106,0,0,0.0,0,0,0,0,,0,0,3.7649343013763428,56.55000686645508,65.48486328125,5,1,211,0.0,0,1,0,0.5035733580589294,6.333333333333333,31,10,43.71831130981445,,163,12.333333333333334
666.9180722236633,1107,0,0,17.0,0,0,0,0,,0,0,3.6410071849823,44.14899444580078,49.891807556152344,5,3,166,0.0,1,1,0,0.5042986869812012,7.666666666666667,15,6,34.43487548828125,,135,6.0
667.5158939361572,1108,0,0,17.0,0,0,0,0,,0,0,3.735308885574341,49.43620681762695,60.35776138305664,5,0,179,0.0,1,1,0,0.5035946369171143,6.0,17,12,35.55372619628906,,143,0.0
668.1149723529816,1109,0,0,14.333333333333334,0,0,0,0,,0,0,3.6821563243865967,44.901611328125,50.53786849975586,8,2,163,0.0,1,0,0,0.5046826601028442,7.0,19,6,34.814178466796875,,127,8.0
668.7142570018768,1110,0,0,15.0,0,0,0,0,,0,0,3.76897931098938,49.99679946899414,61.80742263793945,7,1,175,0.0,2,0,0,0.504746675491333,6.0,17,13,34.53927230834961,,135,8.333333333333334
669.3184015750885,1111,0,0,14.333333333333334,0,0,0,0,,0,0,3.8051159381866455,41.410980224609375,47.71213912963867,4,1,154,0.0,1,0,0,0.5045120120048523,6.333333333333333,25,7,31.87554931640625,,116,9.0
669.9164516925812,1112,0,0,16.333333333333332,0,0,0,0,,0,0,3.8744735717773438,42.83712387084961,50.80165100097656,9,0,152,0.0,1,1,0,0.5036799907684326,6.0,19,9,30.81722068786621,,113,0.0
670.5183870792389,1113,0,0,15.0,0,0,0,0,,0,0,3.8798890113830566,46.03616714477539,52.36371994018555,8,2,174,0.0,2,0,0,0.5063466429710388,6.333333333333333,22,7,35.047237396240234,,133,7.666666666666667
671.1190805435181,1114,0,0,10.0,0,0,0,0,,0,0,3.884366035461426,52.709739685058594,64.16295623779297,9,1,184,0.0,2,0,0,0.5054933428764343,6.333333333333333,26,13,36.70090866088867,,133,5.666666666666667
671.7224469184875,1115,0,0,17.0,0,0,0,0,,0,0,3.7590386867523193,45.908321380615234,52.29201889038086,7,1,164,0.0,1,1,0,0.5082666873931885,7.0,29,7,34.961509704589844,,118,7.666666666666667
672.3221752643585,1116,0,0,0.0,0,0,0,0,,0,0,3.702009916305542,48.02472686767578,57.99905014038086,5,3,172,0.0,0,1,0,0.505407989025116,7.0,18,11,34.64093780517578,,134,7.333333333333333
672.9220986366272,1117,0,0,0.0,0,0,0,0,,0,0,3.701565980911255,37.084938049316406,40.76544952392578,4,2,144,0.0,0,1,0,0.5048533082008362,6.666666666666667,17,4,30.190542221069336,,116,8.333333333333334
673.542337179184,1118,0,0,0.0,0,0,0,0,,0,0,3.7010796070098877,39.680015563964844,43.21206283569336,4,1,156,0.0,0,1,0,0.5245653390884399,6.666666666666667,27,4,32.68817901611328,,119,5.0
674.1475496292114,1119,0,0,3.0,0,0,0,0,,0,0,3.740232467651367,42.43897247314453,52.38541030883789,1,2,158,0.0,1,0,0,0.5055360198020935,6.333333333333333,16,11,30.529552459716797,,127,8.0
674.7459778785706,1120,0,0,13.666666666666666,0,0,0,0,,0,0,3.6207213401794434,44.33246994018555,56.49070739746094,5,1,149,0.0,1,0,0,0.503658652305603,8.0,11,13,29.733558654785156,,118,7.0
675.3450736999512,1121,0,0,0.0,0,0,0,0,,0,0,3.7320139408111572,47.57445526123047,59.219573974609375,7,0,161,0.0,0,0,0,0.5037013292312622,6.0,20,13,33.021175384521484,,121,0.0
675.9463129043579,1122,0,0,8.333333333333334,0,0,0,0,,0,0,3.664813280105591,62.473388671875,81.6803970336914,3,1,206,0.0,1,0,0,0.5056213140487671,7.0,27,21,40.803462982177734,,153,4.333333333333333
676.5545537471771,1123,0,0,11.0,0,0,0,0,,0,0,3.675661325454712,58.57880401611328,70.70382690429688,7,0,202,0.0,2,0,0,0.5036799907684326,6.666666666666667,27,13,42.23832321166992,,153,0.0
677.1547980308533,1124,0,0,0.0,0,0,0,0,,0,0,3.5753896236419678,65.83534240722656,77.06670379638672,10,1,229,0.0,0,0,0,0.5046399831771851,7.333333333333333,26,12,49.704097747802734,,180,8.333333333333334
677.7563030719757,1125,0,0,7.0,0,0,0,0,,0,0,3.755697727203369,70.3077621459961,82.98052978515625,10,2,249,0.0,1,1,0,0.504256010055542,6.0,35,14,51.724063873291016,,186,7.333333333333333
678.3555963039398,1126,0,0,14.333333333333334,0,0,0,0,,0,0,3.8183274269104004,85.52030944824219,102.5842056274414,11,1,298,0.0,3,0,0,0.5044053196907043,6.333333333333333,51,19,61.47493362426758,,213,30.333333333333332
678.9564666748047,1127,0,0,3.0,0,0,0,0,,0,0,3.9153151512145996,75.72098541259766,89.62956237792969,17,3,271,0.0,1,1,0,0.5038933157920837,6.0,32,16,54.30791091918945,,201,8.0
679.5564951896667,1128,0,0,0.0,0,0,0,0,,0,0,3.844137191772461,67.35192108154297,81.27249908447266,10,2,245,0.0,0,0,0,0.5046399831771851,6.666666666666667,28,16,48.74668884277344,,189,8.0
680.161703824997,1129,0,0,7.333333333333333,0,0,0,0,,0,0,3.9400877952575684,69.95147705078125,83.86487579345703,13,1,251,0.0,3,0,0,0.5078399777412415,6.0,36,16,49.60809326171875,,182,7.666666666666667
680.7639520168304,1130,0,0,18.333333333333332,0,0,0,0,,0,0,3.797353744506836,64.96051025390625,80.09785461425781,10,2,223,0.0,1,1,0,0.5050879716873169,7.0,28,17,44.70363235473633,,164,9.0
681.3718948364258,1131,0,0,17.0,0,0,0,0,,0,0,3.8339197635650635,70.39400482177734,84.45999145507812,14,1,242,0.0,1,2,0,0.5088426470756531,6.333333333333333,37,16,49.58949661254883,,171,2.3333333333333335
681.9761576652527,1132,0,0,0.0,0,0,0,0,,1,0,3.858377456665039,80.58765411376953,111.52059936523438,10,2,279,0.0,0,1,0,0.5089706778526306,6.333333333333333,41,23,54.667137145996094,,201,8.0
