Counter,Time,Bin1 MToF,PM10,Bin 4,Bin 11,Bin 10,Bin 0,Bin 14,PM1,Sampling Period,Bin 15,Bin5 MToF,Bin 5,Bin 3,Checksum,Bin 8,Bin7 MToF,Bin 13,Pressure,Bin 7,Bin 9,Bin 12,Temperature,Bin 1,Bin 2,Bin 6,PM2.5,Bin3 MToF,SFR
29,17.227346420288086,0.0,0.0,0,0,0,0,0,0.0,0.5035733580589294,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
30,17.826031923294067,0.0,0.0,0,0,0,0,0,0.0,0.5040000081062317,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
31,18.4243803024292,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
32,19.023131132125854,0.0,0.0,0,0,0,0,0,0.0,0.5041919946670532,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
33,19.621381759643555,0.0,0.0,0,0,0,0,0,0.0,0.5033813118934631,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
34,20.220117568969727,0.0,0.0,0,0,0,0,0,0.0,0.504149317741394,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
35,20.818416357040405,0.0,0.0,0,0,0,0,0,0.0,0.5034666657447815,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
36,21.418407917022705,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
37,22.016601085662842,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
38,22.615333080291748,0.0,0.0,0,0,0,0,0,0.0,0.5041279792785645,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
39,23.213764905929565,0.0,0.0,0,0,0,0,0,0.0,0.5035093426704407,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
40,23.825838804244995,0.0,0.20039336383342743,0,0,0,1,0,0.19482824206352234,0.503765344619751,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.2003898322582245,0.0,3.700000047683716
41,24.42439889907837,0.0,0.0,0,0,0,0,0,0.0,0.5032533407211304,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
42,25.022879600524902,0.0,0.0,0,0,0,0,0,0.0,0.5038719773292542,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
43,25.621366262435913,0.0,0.0,0,0,0,0,0,0.0,0.50327467918396,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
44,26.220134496688843,0.0,0.0,0,0,0,0,0,0.0,0.5040000081062317,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
45,26.818583965301514,0.0,0.0,0,0,0,0,0,0.0,0.5033599734306335,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
46,27.417776584625244,0.0,0.41825947165489197,1,0,0,0,0,0.07242103666067123,0.5044266581535339,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.37905141711235046,0.0,3.700000047683716
47,28.0174880027771,0.0,0.0,0,0,0,0,0,0.0,0.5039573311805725,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
48,28.619285821914673,0.0,0.0,0,0,0,0,0,0.0,0.5038293600082397,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
