Counter,Time,Bin 15,Bin 10,Bin 6,Bin 7,Bin 13,Bin 3,Checksum,Bin 0,Bin5 MToF,PM10,Bin 1,Bin 12,Bin 11,PM2.5,Bin 2,Pressure,Bin3 MToF,Temperature,Bin1 MToF,Bin 8,Bin 14,Sampling Period,SFR,Bin 4,Bin 9,Bin 5,PM1,Bin7 MToF
27,15.683832883834839,0,0,0,0,0,1,436,340,8.333333333333334,96.48027038574219,79,0,0,96.26441955566406,15,,7.0,,5.666666666666667,0,0,0.5033813118934631,4.241574287414551,0,0,1,86.19014739990234,0.0
28,16.282519578933716,0,0,0,0,0,3,431,351,0.0,91.60758972167969,61,0,0,91.49937438964844,16,,7.333333333333333,,5.666666666666667,0,0,0.5041066408157349,4.296535968780518,0,0,0,82.19195556640625,0.0
29,16.881239414215088,0,0,1,0,0,4,625,463,0.0,142.7594451904297,126,0,0,141.80015563964844,31,,8.666666666666666,,5.666666666666667,0,0,0.5038080215454102,4.324554443359375,0,0,0,124.16999816894531,0.0
30,17.483465671539307,0,0,0,0,0,1,232,183,0.0,52.91702651977539,36,0,0,52.84968566894531,12,,7.0,,6.333333333333333,0,0,0.5043200254440308,4.152697563171387,0,0,0,46.81502151489258,0.0
31,18.082780361175537,0,0,0,0,0,5,431,349,0.0,99.90503692626953,55,0,0,99.74125671386719,22,,6.666666666666667,,6.333333333333333,0,0,0.5034026503562927,4.0251922607421875,0,0,0,88.13410949707031,0.0
32,18.681576251983643,0,0,1,0,0,0,370,305,0.0,82.44813537597656,55,0,0,81.58061981201172,9,,0.0,,6.0,0,0,0.5040426850318909,4.065831661224365,0,0,0,73.99490356445312,0.0
33,19.279969930648804,0,0,1,0,0,2,659,489,0.0,161.4090118408203,126,0,0,160.3759765625,41,,7.666666666666667,,6.0,0,0,0.5034239888191223,4.088346481323242,0,0,0,139.47576904296875,0.0
34,19.878486156463623,0,0,0,0,0,5,627,473,0.0,141.0850372314453,114,0,0,140.87232971191406,35,,7.333333333333333,,5.333333333333333,0,0,0.5039786696434021,4.340147018432617,0,0,0,123.41983795166016,0.0
35,20.47728443145752,0,0,1,0,0,4,512,396,0.0,112.51927185058594,91,0,0,111.61320495605469,20,,6.666666666666667,,5.666666666666667,0,0,0.5035520195960999,4.346534729003906,0,0,0,98.79142761230469,0.0
36,21.077224493026733,0,0,0,0,0,3,641,484,4.333333333333333,142.80809020996094,122,0,0,142.5059814453125,31,,6.0,,5.666666666666667,0,0,0.504256010055542,4.349735260009766,0,0,1,125.6051254272461,0.0
37,21.675548315048218,0,0,1,0,0,10,845,619,10.333333333333334,191.61978149414062,175,0,0,190.37374877929688,37,,8.0,,5.666666666666667,0,0,0.5036159753799438,4.351337909698486,2,0,1,166.019775390625,0.0
38,22.274614095687866,0,0,0,0,0,3,809,597,0.0,183.16383361816406,164,0,0,182.89724731445312,44,,7.333333333333333,,5.666666666666667,0,0,0.5047893524169922,4.352139472961426,1,0,0,160.4105682373047,0.0
39,22.878204584121704,0,0,1,0,0,3,677,514,8.333333333333334,151.5961456298828,124,0,0,150.48721313476562,33,,7.333333333333333,,5.666666666666667,0,0,0.5039573311805725,4.352540016174316,1,0,1,131.89666748046875,0.0
40,23.480441570281982,0,0,0,0,0,2,823,607,0.0,183.7244110107422,180,0,0,183.53797912597656,34,,7.666666666666667,,5.666666666666667,0,0,0.5044906735420227,4.352740287780762,0,0,0,163.0364990234375,0.0
41,24.07942509651184,0,0,0,0,0,3,793,580,0.0,181.25222778320312,165,0,0,181.0144500732422,45,,7.333333333333333,,5.666666666666667,0,0,0.5035520195960999,4.352840423583984,0,0,0,158.5278778076172,0.0
