Counter,Time,PM2.5,PM10
1,0.6114192008972168,0.2,0.2
3,1.8083326816558838,0.2,0.2
5,3.0188775062561035,0.2,0.2
7,4.216279029846191,0.2,0.2
9,5.413145065307617,0.2,0.2
11,6.6105828285217285,0.2,0.2
13,7.817221164703369,0.3,0.3
15,9.02455186843872,0.2,0.2
17,10.22170352935791,0.2,0.2
19,11.4187593460083,0.2,0.2
21,12.617394208908081,0.2,0.2
23,13.825730800628662,0.2,0.2
25,15.026654720306396,0.2,0.2
27,16.245028018951416,0.2,0.2
29,17.45280432701111,0.2,0.2
31,18.660799980163574,0.2,0.2
33,19.867820501327515,0.2,0.2
35,21.075916290283203,0.2,0.2
37,22.273995399475098,0.2,0.2
39,23.476458311080933,0.2,0.2
41,24.685966730117798,0.2,0.2
43,25.888397693634033,0.2,0.2
45,27.08457660675049,0.2,0.2
47,28.281088829040527,0.2,0.2
49,29.477753162384033,0.2,0.2
51,30.67666983604431,0.2,0.2
53,31.875866651535034,0.2,0.2
55,33.08025121688843,0.2,0.3
57,34.27639174461365,0.2,0.3
59,35.47408986091614,0.2,0.3
61,36.67356491088867,0.2,0.3
63,37.872042417526245,0.3,0.3
65,39.07175612449646,0.3,0.3
67,40.27004909515381,0.2,0.3
69,41.46877384185791,0.3,0.3
71,42.67199921607971,0.2,0.3
73,43.88240385055542,0.2,0.3
75,45.079912424087524,0.2,0.3
77,46.27854084968567,0.3,0.3
79,47.477203369140625,0.2,0.3
81,48.67854976654053,0.3,0.3
83,49.87518835067749,0.3,0.3
85,51.087735414505005,0.3,0.3
87,52.301655530929565,0.4,0.5
89,53.5011203289032,0.7,0.8
91,54.7123703956604,1.7,2.0
93,55.91582441329956,3.1,3.7
95,57.12416481971741,4.2,5.2
97,58.32719945907593,6.8,8.2
99,59.53279447555542,11.5,14.3
101,60.73286294937134,17.0,21.4
103,61.92942142486572,19.0,24.2
105,63.127591133117676,26.1,32.1
107,64.33439421653748,29.9,36.7
109,65.53045535087585,36.3,45.2
111,66.74865436553955,44.4,54.9
113,67.9446280002594,53.5,65.5
115,69.1651394367218,57.3,70.0
117,70.36639165878296,66.6,81.2
119,71.57873821258545,78.2,94.7
121,72.78963661193848,89.3,107.7
123,74.01043272018433,102.8,123.2
125,75.21319651603699,114.6,137.0
127,76.42764163017273,128.5,152.5
129,77.63272404670715,143.5,169.0
131,78.83188462257385,155.1,182.8
133,80.02862787246704,168.8,197.6
135,81.241379737854,183.5,213.8
137,82.4397714138031,196.3,228.3
139,83.64201664924622,210.0,243.5
141,84.83835482597351,228.0,261.4
143,86.03539514541626,245.1,279.4
145,87.25501704216003,263.8,298.9
147,88.45231938362122,283.1,318.9
149,89.64858913421631,297.4,334.5
151,90.84617137908936,310.9,349.7
153,92.04475474357605,327.8,368.5
155,93.24258756637573,349.0,392.1
157,94.43975472450256,365.9,411.0
159,95.63663744926453,382.1,428.9
161,96.83356475830078,396.7,445.0
163,98.03059840202332,415.0,465.3
165,99.2290608882904,425.3,476.7
167,100.42727661132812,439.5,492.6
169,101.62470984458923,449.6,503.6
171,102.82118463516235,459.4,514.5
173,104.01839399337769,466.0,521.7
175,105.2164523601532,483.7,541.4
177,106.41344141960144,495.4,554.2
179,107.61186146736145,504.5,564.2
181,108.80876302719116,515.0,575.8
183,110.00701403617859,523.1,584.7
185,111.20413494110107,533.8,596.4
187,112.40230345726013,542.6,606.1
189,113.60087466239929,552.0,616.6
191,114.80036616325378,565.2,631.1
193,115.99960017204285,576.5,643.8
195,117.1967043876648,585.5,653.8
197,118.39488434791565,597.9,667.7
199,119.59320425987244,610.5,681.8
201,120.79019355773926,619.4,692.0
203,121.98848986625671,628.3,701.9
205,123.18668413162231,635.7,710.4
207,124.3849401473999,641.5,717.1
209,125.5836820602417,651.5,728.3
211,126.78264570236206,660.0,737.7
213,127.97964334487915,666.6,745.1
215,129.180424451828,671.6,750.9
217,130.37865710258484,679.5,759.8
219,131.57572960853577,684.8,765.9
221,132.7739281654358,692.2,774.3
223,133.97213983535767,699.7,782.8
225,135.17022442817688,708.4,792.6
227,136.36746048927307,716.7,802.0
229,137.5656886100769,727.0,813.7
231,138.7626621723175,736.8,824.7
233,139.95982670783997,748.5,838.0
235,141.15680623054504,755.6,846.1
237,142.3549280166626,764.2,856.1
239,143.55204486846924,771.6,864.5
241,144.74896383285522,777.4,871.1
243,145.94722151756287,783.6,878.1
245,147.14545702934265,789.1,884.6
247,148.34369206428528,795.8,892.3
249,149.5411674976349,799.5,896.5
251,150.7389771938324,803.6,901.4
253,151.9358594417572,807.2,905.6
255,153.132954120636,811.9,911.0
257,154.32989263534546,816.1,915.9
259,155.52688479423523,818.4,918.8
261,156.72506284713745,821.1,921.9
263,157.92213582992554,825.3,926.9
265,159.120379447937,827.8,929.7
267,160.31867694854736,830.4,932.7
269,161.51563692092896,834.4,937.3
271,162.71432280540466,840.2,944.0
273,163.91075921058655,843.6,948.1
275,165.10788369178772,845.4,950.2
277,166.30779671669006,847.5,952.9
279,167.50727772712708,850.5,956.6
281,168.7050018310547,853.0,960.3
283,169.90196657180786,854.0,964.5
285,171.0990550518036,856.6,968.5
287,172.29776573181152,857.7,970.2
289,173.49773120880127,859.2,973.9
291,174.69807481765747,861.7,979.5
293,175.89745140075684,863.3,982.0
295,177.0983030796051,864.0,983.5
297,178.29777550697327,864.4,984.3
299,179.49704766273499,866.1,987.7
301,180.69653868675232,869.1,993.1
303,181.89618515968323,871.0,996.5
305,183.09589290618896,874.4,1003.2
307,184.29519772529602,875.0,1004.7
309,185.49465608596802,875.9,1007.5
311,186.6938281059265,877.0,1009.4
313,187.89223074913025,877.7,1012.1
315,189.09190845489502,879.1,1014.7
317,190.29125547409058,878.5,1015.3
319,191.48963928222656,880.8,1018.1
321,192.68933582305908,881.9,1020.0
323,193.88861060142517,881.7,1021.2
325,195.08713269233704,882.7,1025.2
327,196.28658413887024,885.4,1029.9
329,197.4864628314972,887.9,1035.2
331,198.68536043167114,890.0,1038.4
333,199.88493752479553,891.9,1040.5
335,201.08456373214722,893.2,1042.1
337,202.283944606781,894.6,1044.4
339,203.48345971107483,895.7,1046.4
341,204.68300771713257,896.7,1048.9
343,205.88156032562256,897.3,1048.9
345,207.08111095428467,898.9,1052.7
347,208.28063297271729,902.2,1059.0
349,209.48004031181335,905.5,1063.2
351,210.67939114570618,906.5,1065.4
353,211.8788983821869,908.2,1068.8
355,213.07856130599976,910.0,1073.4
357,214.27788829803467,910.9,1075.6
359,215.47750568389893,912.7,1080.1
361,216.67705535888672,913.0,1081.9
363,217.87642669677734,915.3,1087.4
365,219.07482433319092,914.6,1087.1
367,220.27421641349792,915.7,1091.1
369,221.4741849899292,917.3,1095.5
371,222.6732952594757,918.0,1097.4
373,223.8726842403412,920.3,1101.2
375,225.07101464271545,920.8,1102.4
377,226.27066254615784,922.9,1106.6
379,227.47018027305603,923.4,1108.5
381,228.66960215568542,924.2,1111.0
383,229.86911940574646,925.6,1111.6
385,231.0686936378479,927.7,1115.2
387,232.2680470943451,928.8,1116.8
389,233.46760082244873,929.8,1119.8
391,234.66707015037537,930.6,1122.2
393,235.86663794517517,933.1,1128.8
395,237.0662682056427,935.1,1133.2
397,238.26546216011047,936.3,1136.1
399,239.463965177536,938.3,1140.0
401,240.66336393356323,939.6,1141.1
403,241.86286854743958,942.8,1147.9
405,243.06241130828857,944.8,1151.9
407,244.26195359230042,946.6,1156.4
409,245.46139216423035,947.5,1158.8
411,246.66068577766418,948.9,1163.0
413,247.86025762557983,949.9,1166.3
415,249.058655500412,950.9,1167.7
417,250.25832390785217,953.3,1172.7
419,251.45772409439087,954.9,1177.3
421,252.65705394744873,957.1,1182.8
423,253.8553285598755,958.0,1185.7
425,255.05385756492615,959.6,1190.4
