Counter,Time,PM2.5,Bin 11,Bin5 MToF,PM1,Bin 8,Temperature,SFR,Bin1 MToF,Bin 3,Bin 14,PM10,Checksum,Bin 13,Bin 2,Bin 10,Pressure,Sampling Period,Bin 6,Bin 4,Bin 12,Bin7 MToF,Bin 9,Bin 7,Bin 1,Bin 15,Bin 5,Bin 0,Bin3 MToF
21,12.017848253250122,5.225439071655273,0,0.0,4.724385738372803,0,,3.737938404083252,6.0,0,0,5.230412006378174,22,0,1,0,,0.5036159753799438,0,0,0,0.0,0,0,2,0,0,19,0.0
22,12.617738723754883,3.224060535430908,0,0.0,2.7804455757141113,0,,3.755052089691162,5.666666666666667,0,0,3.2289724349975586,12,0,1,0,,0.5040000081062317,0,0,0,0.0,0,0,2,0,0,9,0.0
23,13.216308116912842,3.415910243988037,0,0.0,2.967541217803955,0,,3.7655725479125977,6.0,0,0,3.4208173751831055,13,0,1,0,,0.5034026503562927,0,0,0,0.0,0,0,2,0,0,10,0.0
24,13.826109409332275,1.7457711696624756,0,0.0,1.6019530296325684,0,,3.7820351123809814,5.666666666666667,0,0,1.7461856603622437,7,0,0,0,,0.5040213465690613,0,0,0,0.0,0,0,2,0,0,5,0.0
25,14.425873041152954,0.9806730151176453,0,0.0,0.9534554481506348,0,,3.7820351123809814,0.0,0,0,0.9806903004646301,5,0,0,0,,0.5035306811332703,0,0,0,0.0,0,0,0,0,0,5,0.0
26,15.027212858200073,10.534244537353516,0,0.0,9.407662391662598,0,,3.8345794677734375,5.666666666666667,0,0,10.544500350952148,43,0,2,0,,0.5042773485183716,0,0,0,0.0,0,0,7,0,0,34,0.0
27,15.637190580368042,29.736980438232422,0,0.0,26.302902221679688,0,,3.8026607036590576,6.666666666666667,1,0,29.780160903930664,120,0,6,0,,0.5040000081062317,0,0,0,0.0,0,0,18,0,0,95,8.333333333333334
28,16.24559497833252,102.16380310058594,0,0.0,89.21048736572266,0,,4.059236526489258,5.666666666666667,6,0,103.14666748046875,426,0,18,0,,0.5044479966163635,1,0,0,0.0,0,0,86,0,0,315,7.333333333333333
29,16.84589433670044,92.0138931274414,0,0.0,79.13671875,0,,4.200961589813232,5.666666666666667,8,0,92.2103042602539,381,0,22,0,,0.5037226676940918,0,0,0,0.0,0,0,84,0,0,267,7.666666666666667
30,17.453426599502563,111.24998474121094,0,0.0,96.65885162353516,0,,4.275601387023926,5.666666666666667,4,0,111.43376159667969,480,0,31,0,,0.5038506388664246,0,0,0,0.0,0,0,87,0,0,358,7.0
31,18.06173872947693,114.2732925415039,0,0.0,101.75692749023438,0,,4.19174337387085,6.0,4,0,114.42053985595703,510,0,21,0,,0.5033173561096191,0,0,0,0.0,0,0,85,0,0,400,7.666666666666667
32,18.66128420829773,105.52509307861328,0,0.0,95.04348754882812,0,,4.270822048187256,5.666666666666667,2,0,105.62356567382812,486,0,15,0,,0.5047680139541626,0,0,0,0.0,0,0,89,0,0,380,6.333333333333333
33,19.264562368392944,144.10609436035156,0,9.666666666666666,125.85664367675781,0,,4.311490535736084,5.666666666666667,6,0,145.21975708007812,642,0,32,0,,0.5040213465690613,1,0,0,0.0,0,0,114,0,1,488,7.333333333333333
34,19.8684561252594,182.75633239746094,0,11.0,159.38778686523438,0,,4.332116603851318,5.666666666666667,7,0,183.90525817871094,796,0,37,0,,0.5049386620521545,1,0,0,0.0,0,0,182,0,1,568,8.333333333333334
35,20.471505165100098,122.48844146728516,0,0.0,105.81674194335938,1,,4.342504024505615,5.666666666666667,2,0,132.66845703125,521,0,32,0,,0.5040000081062317,0,0,0,0.0,0,0,119,0,0,367,8.333333333333334
36,21.076425790786743,81.88088989257812,0,0.0,71.74669647216797,0,,4.347716331481934,5.666666666666667,3,0,82.00415802001953,365,0,20,0,,0.5046399831771851,0,0,0,0.0,0,0,68,0,0,274,8.0
37,21.674760103225708,49.77115249633789,0,0.0,43.53969192504883,0,,4.26239013671875,6.0,0,0,52.91524124145508,223,0,12,0,,0.5039573311805725,0,0,0,10.333333333333334,0,1,32,0,0,178,0.0
38,22.274585962295532,130.16561889648438,0,0.0,114.2550277709961,0,,4.185384273529053,6.0,5,0,130.36029052734375,560,0,29,0,,0.5044479966163635,0,0,0,0.0,0,0,106,0,0,420,7.666666666666667
39,22.873712062835693,111.43485260009766,0,0.0,98.2654800415039,0,,4.147914886474609,6.0,4,0,111.61688995361328,476,0,20,0,,0.5036799907684326,0,1,0,0.0,0,0,99,0,0,352,7.333333333333333
40,23.4768009185791,129.45823669433594,0,7.666666666666667,112.58051300048828,0,,4.129431247711182,6.0,4,0,129.8132781982422,537,0,29,0,,0.5045120120048523,0,1,0,0.0,0,0,114,0,1,388,7.333333333333333
41,24.084118127822876,135.98484802246094,0,0.0,118.93975830078125,0,,4.120250701904297,6.0,3,0,136.16412353515625,556,0,29,0,,0.5038933157920837,0,0,0,0.0,0,0,133,0,0,391,6.333333333333333
42,24.68656015396118,175.64862060546875,0,7.666666666666667,150.3662872314453,0,,4.115675926208496,6.0,4,0,176.86502075195312,696,0,48,0,,0.5044479966163635,1,0,0,0.0,0,0,163,0,1,479,7.333333333333333
43,25.285614490509033,214.3413543701172,0,0.0,182.7444610595703,0,,4.355498790740967,5.333333333333333,6,0,214.81179809570312,891,0,69,0,,0.5033386945724487,0,3,0,0.0,0,0,201,0,0,612,6.666666666666667
