Counter,Time,PM2.5,PM10
123,73.87253189086914,440.2,493.5
125,75.08330869674683,450.4,504.8
127,76.30407929420471,462.0,517.7
129,77.52475929260254,468.7,524.9
131,78.7233533859253,482.8,540.4
133,79.9215087890625,492.6,551.1
135,81.11980485916138,499.5,558.8
137,82.31836366653442,507.5,567.4
139,83.51547956466675,515.7,576.5
141,84.7213282585144,520.2,581.4
143,85.92011618614197,527.5,589.3
145,87.12121653556824,530.2,592.3
147,88.3289680480957,532.9,595.4
149,89.52716326713562,535.9,598.8
151,90.7255449295044,543.2,606.8
153,91.92420220375061,545.9,609.8
155,93.12248206138611,552.2,616.7
157,94.32242679595947,559.7,625.0
159,95.52985620498657,562.6,628.3
161,96.73907351493835,566.4,632.3
163,97.93992495536804,571.9,638.4
165,99.14473748207092,576.9,644.0
167,100.34364414215088,577.7,644.8
169,101.54895305633545,580.3,647.7
171,102.74763536453247,584.2,652.0
173,103.95297765731812,588.8,657.2
175,105.15176892280579,594.6,663.7
177,106.34906506538391,602.4,672.4
179,107.54620218276978,604.6,674.8
181,108.74447751045227,604.9,675.2
183,109.94274854660034,606.2,676.6
185,111.14123129844666,611.0,682.0
187,112.33828997612,611.1,682.0
189,113.53554368019104,616.1,687.7
191,114.73381686210632,616.0,687.5
193,115.93234395980835,618.6,690.4
195,117.13811016082764,621.6,693.5
197,118.33921980857849,623.3,695.4
199,119.54010272026062,627.1,699.7
201,120.73736810684204,633.0,706.3
203,121.96111130714417,639.3,713.5
205,123.17056202888489,645.9,721.0
207,124.3813087940216,653.6,729.6
209,125.57984495162964,660.3,737.0
211,126.77855324745178,667.1,744.6
213,127.9844536781311,674.1,752.4
215,129.19385170936584,678.6,757.5
217,130.41409373283386,680.4,759.5
219,131.6113886833191,686.5,766.4
221,132.81551146507263,691.1,771.7
223,134.0141384601593,695.0,776.1
225,135.21110796928406,699.4,781.1
227,136.4097101688385,705.0,787.4
229,137.6080949306488,710.1,793.2
231,138.8116946220398,713.3,796.8
233,140.02494883537292,713.7,797.3
235,141.23560190200806,715.8,799.7
237,142.45289731025696,717.0,801.1
239,143.64911699295044,720.4,805.0
241,144.84605479240417,724.9,810.1
243,146.04762053489685,730.6,816.5
245,147.25312423706055,734.8,821.1
247,148.45328450202942,738.9,825.9
249,149.66263222694397,740.4,827.6
251,150.87270736694336,744.7,832.6
253,152.07728362083435,747.4,835.7
255,153.2780523300171,747.7,836.1
257,154.4798390865326,749.9,838.7
259,155.67692399024963,751.0,839.9
261,156.8738796710968,751.1,840.0
263,158.0710678100586,751.1,839.9
265,159.26940393447876,750.8,839.4
267,160.46792912483215,749.3,837.6
269,161.66638565063477,749.7,838.0
271,162.86477661132812,749.2,837.6
273,164.06301617622375,750.3,838.8
275,165.26303482055664,750.2,838.6
277,166.4651803970337,752.2,841.0
279,167.66614603996277,753.4,842.3
281,168.8716676235199,754.3,843.3
283,170.09079813957214,755.1,844.1
285,171.28838920593262,754.1,843.0
287,172.49393844604492,753.3,842.3
289,173.6923975944519,754.4,843.5
291,174.88947772979736,755.0,844.3
293,176.08766651153564,757.4,846.9
295,177.28471088409424,760.1,850.1
297,178.48300290107727,762.9,853.1
299,179.6943118572235,765.0,855.5
301,180.89781379699707,765.3,856.0
303,182.10368037223816,765.4,856.4
305,183.31281852722168,764.2,855.1
307,184.5251977443695,764.6,855.6
309,185.72892665863037,764.7,855.8
311,186.93475985527039,763.8,854.6
313,188.14411282539368,764.7,855.7
315,189.34515500068665,767.3,858.7
317,190.5471785068512,768.1,859.6
319,191.75802779197693,769.5,861.2
321,192.95640587806702,770.3,862.2
323,194.1685767173767,771.2,863.3
325,195.37932968139648,773.2,865.7
327,196.584077835083,775.4,868.2
329,197.78939485549927,776.1,869.2
331,198.99098920822144,779.7,873.2
333,200.211008310318,779.3,872.9
335,201.40806889533997,780.2,874.0
337,202.615327835083,782.6,876.7
339,203.83080625534058,781.9,875.9
341,205.02905702590942,783.9,878.3
343,206.23540830612183,786.9,881.7
345,207.44950652122498,789.7,884.8
347,208.67033219337463,791.1,886.3
349,209.8824508190155,792.2,887.5
351,211.07885265350342,794.3,890.0
353,212.27780151367188,796.7,892.7
355,213.48658680915833,795.9,891.8
357,214.6885757446289,795.1,891.0
359,215.89044618606567,795.7,891.6
361,217.09275245666504,798.1,894.2
363,218.29364490509033,800.2,896.5
365,219.49891090393066,804.3,901.3
367,220.71081805229187,805.5,902.6
369,221.90907740592957,808.5,906.4
371,223.11882328987122,810.3,908.6
373,224.31927800178528,812.7,911.4
375,225.51604676246643,815.5,914.6
377,226.72345304489136,818.1,917.6
379,227.92153096199036,819.6,919.3
381,229.12128448486328,820.4,920.3
383,230.31954550743103,822.5,922.8
385,231.53019642829895,824.4,925.0
387,232.74130153656006,825.6,926.4
389,233.93841886520386,828.6,929.9
391,235.14928436279297,829.1,930.6
393,236.36637496948242,830.3,932.0
395,237.57051038742065,831.4,933.2
397,238.78286170959473,831.6,933.6
399,239.98135089874268,833.0,935.2
401,241.1796383857727,832.5,934.7
403,242.37854552268982,832.6,934.9
405,243.57633185386658,832.0,934.3
407,244.77334761619568,833.9,936.8
409,245.9730567932129,836.7,940.0
411,247.19132661819458,837.9,941.5
413,248.39807057380676,836.5,940.0
415,249.6077733039856,837.8,941.5
417,250.80852556228638,837.3,940.9
419,252.02312421798706,837.2,940.8
421,253.2265808582306,837.5,941.3
423,254.42734599113464,836.2,939.8
425,255.6305136680603,836.2,939.7
