Counter,Time,PM2.5,PM10
1,0.96575927734375,0.2,0.2
3,2.1645524501800537,0.2,0.2
5,3.3789095878601074,0.2,0.2
7,4.585263013839722,0.2,0.2
9,5.788443088531494,0.2,0.2
11,7.006901025772095,0.1,0.1
13,8.209399938583374,0.1,0.1
15,9.409637928009033,0.1,0.1
17,10.616729736328125,0.2,0.2
19,11.813908815383911,0.2,0.2
21,13.010792970657349,0.2,0.2
23,14.219353199005127,0.2,0.2
25,15.421643018722534,0.2,0.2
27,16.62385129928589,0.2,0.2
29,17.825531482696533,0.2,0.2
31,19.022618055343628,0.1,0.1
33,20.219579219818115,0.1,0.1
35,21.417964220046997,0.1,0.1
37,22.614813327789307,0.1,0.1
39,23.8255295753479,0.1,0.1
41,25.022464990615845,0.1,0.1
43,26.21969223022461,0.1,0.1
45,27.417366981506348,0.2,0.2
47,28.618957042694092,0.2,0.2
49,29.817816019058228,0.2,0.2
51,31.022245407104492,0.2,0.2
53,32.22519659996033,0.1,0.1
55,33.4283766746521,0.1,0.1
57,34.636669635772705,0.1,0.1
59,35.83680081367493,0.2,0.2
61,37.04148483276367,0.2,0.2
63,38.24044680595398,0.2,0.2
65,39.444331884384155,0.2,0.2
67,40.64503765106201,0.2,0.2
69,41.84594368934631,0.2,0.2
71,43.050440311431885,0.2,0.2
73,44.254454612731934,0.2,0.2
75,45.45248889923096,0.2,0.2
77,46.65654110908508,0.2,0.2
79,47.86814332008362,0.2,0.2
81,49.075053215026855,0.2,0.2
83,50.27573823928833,0.2,0.2
85,51.48033142089844,0.2,0.2
87,52.695011615753174,0.2,0.2
89,53.914456844329834,0.2,0.2
91,55.110968351364136,0.2,0.2
93,56.308067321777344,0.2,0.2
95,57.505053758621216,0.2,0.2
97,58.70325016975403,0.2,0.2
99,59.91146993637085,0.2,0.2
101,61.10854768753052,0.2,0.2
103,62.31106400489807,0.2,0.2
105,63.51212763786316,0.2,0.2
107,64.7296187877655,0.2,0.2
109,65.94660973548889,0.2,0.2
111,67.14868593215942,0.2,0.2
113,68.3544533252716,0.2,0.2
115,69.5528085231781,0.2,0.2
117,70.74971628189087,0.2,0.2
119,71.95684599876404,0.2,0.2
121,73.16505432128906,0.2,0.2
123,74.36459565162659,0.2,0.2
125,75.57034158706665,0.2,0.2
127,76.76860690116882,0.2,0.2
129,77.96746063232422,0.2,0.2
131,79.16554713249207,0.2,0.2
133,80.36708545684814,0.2,0.2
135,81.56409215927124,0.2,0.2
137,82.77003312110901,0.2,0.2
139,83.96696305274963,0.2,0.2
141,85.16392827033997,0.2,0.2
143,86.37356472015381,0.2,0.2
145,87.57980966567993,0.2,0.2
147,88.78137922286987,0.2,0.2
149,89.97972083091736,0.2,0.2
151,91.1780617237091,0.2,0.2
153,92.37626719474792,0.2,0.2
155,93.584055185318,0.2,0.2
157,94.79440236091614,0.2,0.2
159,95.9991409778595,0.2,0.2
161,97.20192217826843,0.1,0.1
163,98.40325546264648,0.1,0.1
165,99.5999083518982,0.1,0.1
167,100.79698872566223,0.1,0.1
169,101.99402642250061,0.1,0.1
171,103.19098114967346,0.1,0.1
173,104.39942169189453,0.1,0.1
175,105.60947322845459,0.1,0.1
177,106.81468439102173,0.1,0.1
179,108.01955080032349,0.1,0.1
181,109.23778200149536,0.1,0.1
183,110.45615649223328,0.1,0.1
185,111.65432715415955,0.1,0.1
187,112.85263419151306,0.1,0.1
189,114.05308055877686,0.1,0.1
191,115.25661849975586,0.1,0.1
193,116.45907330513,0.1,0.1
195,117.66492009162903,0.1,0.1
197,118.86595487594604,0.1,0.1
199,120.07186198234558,0.1,0.1
201,121.28638505935669,0.1,0.1
203,122.49063849449158,0.1,0.1
205,123.7046811580658,0.1,0.1
207,124.90168809890747,0.1,0.1
209,126.0985860824585,0.1,0.1
211,127.29577016830444,0.1,0.1
213,128.49406027793884,0.1,0.1
215,129.69104838371277,0.1,0.1
217,130.89231991767883,0.1,0.1
219,132.1002163887024,0.1,0.1
221,133.30887269973755,0.1,0.1
223,134.5250849723816,0.1,0.1
225,135.736177444458,0.1,0.1
227,136.93431520462036,0.1,0.1
229,138.14269828796387,0.1,0.1
231,139.35971689224243,0.1,0.1
233,140.558114528656,0.1,0.1
235,141.75497722625732,0.1,0.1
237,142.95366024971008,0.1,0.1
239,144.16870856285095,0.1,0.1
241,145.38174867630005,0.1,0.1
243,146.58285403251648,0.1,0.1
245,147.79733657836914,0.1,0.1
247,148.99554991722107,0.1,0.1
249,150.20085835456848,0.1,0.1
251,151.40176939964294,0.1,0.1
