Counter,Time,Bin1 MToF,Bin 14,Bin 2,Bin 5,Bin 9,PM10,Bin 8,Bin 0,Checksum,Bin7 MToF,Bin 3,Bin 10,Bin 12,SFR,Bin 15,Bin5 MToF,PM2.5,Pressure,Bin 1,PM1,Bin3 MToF,Bin 13,Bin 4,Bin 7,Bin 6,Bin 11,Temperature,Sampling Period
11,6.218779802322388,8.333333333333334,0,0,0,0,4.937448978424072,0,1,6,0.0,1,0,0,2.653386354446411,0,0.0,3.607196807861328,,2,1.5022518634796143,11.666666666666666,0,1,0,1,0,,0.5034666657447815
12,6.817378520965576,0.0,0,0,0,0,2.4441134929656982,0,0,1,0.0,0,0,0,2.653386354446411,0,0.0,1.1890474557876587,,0,0.026608604937791824,0.0,0,0,0,1,0,,0.50408536195755
13,7.4157843589782715,9.666666666666666,0,2,0,0,5.222774505615234,0,1,5,0.0,0,0,0,2.642857074737549,0,0.0,3.948178768157959,,1,1.9008904695510864,0.0,0,0,0,1,0,,0.5034880042076111
14,8.014673233032227,9.666666666666666,0,0,0,0,1.929548978805542,0,3,5,0.0,1,0,0,2.6343040466308594,0,0.0,1.9108474254608154,,1,1.4632562398910522,9.0,0,0,0,0,0,,0.5041706562042236
15,8.6132333278656,5.666666666666667,0,0,0,0,177.34988403320312,0,1,5,13.666666666666666,0,0,0,2.8046648502349854,0,0.0,2.731281280517578,,2,1.139938473701477,0.0,0,0,1,0,1,,0.5034453272819519
16,9.212016820907593,0.0,0,0,0,1,47.49116516113281,0,3,5,21.0,0,0,0,2.8046648502349854,0,0.0,2.8895277976989746,,0,0.7769070267677307,0.0,0,0,1,0,0,,0.504149317741394
17,9.81035566329956,0.0,0,1,0,0,1.9706794023513794,0,4,5,0.0,0,0,0,2.8046648502349854,0,0.0,1.9646549224853516,,0,1.5641863346099854,0.0,0,0,0,0,0,,0.5034026503562927
18,10.409013748168945,0.0,0,0,0,0,0.2641861140727997,0,1,1,0.0,0,0,0,2.8046648502349854,0,0.0,0.2641814351081848,,0,0.25684937834739685,0.0,0,0,0,0,0,,0.5041066408157349
19,11.00733208656311,0.0,0,2,0,0,9.031789779663086,0,3,7,18.333333333333332,1,0,0,2.8046648502349854,0,0.0,4.300453186035156,,0,2.0147573947906494,7.666666666666667,0,0,1,0,0,,0.5034026503562927
20,11.605974912643433,0.0,0,0,0,1,49.276912689208984,0,1,4,11.666666666666666,0,0,0,2.8046648502349854,0,0.0,3.4861271381378174,,0,0.2884341776371002,0.0,0,0,1,1,0,,0.5041279792785645
21,12.204477548599243,6.333333333333333,0,0,0,0,3.034687042236328,0,1,3,0.0,0,0,0,2.8618783950805664,0,0.0,1.8695050477981567,,1,0.7062332034111023,0.0,0,0,0,1,0,,0.5035306811332703
22,12.804164409637451,0.0,0,1,0,0,1.1518713235855103,0,1,2,0.0,0,0,0,2.8618783950805664,0,0.0,1.1459892988204956,,0,0.7756313681602478,0.0,0,0,0,0,0,,0.5041066408157349
23,13.402769565582275,5.666666666666667,0,0,2,0,2.8855438232421875,0,1,5,0.0,0,0,0,2.989898920059204,0,9.333333333333334,2.5169599056243896,,2,1.1769582033157349,0.0,0,0,0,0,0,,0.5035306811332703
24,14.002597332000732,0.0,0,0,1,0,1.8004032373428345,0,2,4,0.0,1,0,0,2.989898920059204,0,17.666666666666668,1.6003429889678955,,0,0.6944787502288818,7.666666666666667,0,0,0,0,0,,0.50408536195755
25,14.601269960403442,7.666666666666667,0,0,1,0,9.7366943359375,0,3,7,13.666666666666666,0,0,0,3.0023865699768066,0,11.666666666666666,4.050801753997803,,1,1.2158427238464355,0.0,0,0,1,1,0,,0.5034666657447815
26,15.201141119003296,4.333333333333333,0,0,1,0,1.7576937675476074,0,2,4,0.0,0,0,0,3.0833332538604736,0,11.0,1.579206943511963,,1,0.9203309416770935,0.0,0,0,0,0,0,,0.5041706562042236
27,15.799467325210571,14.0,0,2,0,0,5.859575271606445,0,1,7,0.0,0,0,0,2.8682172298431396,0,0.0,4.634036064147949,,2,2.2740416526794434,0.0,0,1,0,1,0,,0.5034239888191223
28,16.39824151992798,0.0,0,0,0,0,1.0088444948196411,0,2,3,0.0,1,0,0,2.8682172298431396,0,0.0,0.9919323921203613,,0,0.6648405194282532,11.0,0,0,0,0,0,,0.5041066408157349
29,16.99671483039856,6.333333333333333,0,1,0,0,2.14679217338562,0,3,5,0.0,0,0,0,2.904672861099243,0,0.0,2.140721082687378,,1,1.6851483583450317,0.0,0,0,0,0,0,,0.5034453272819519
30,17.59540891647339,6.0,0,1,0,0,2.552083969116211,0,1,5,0.0,1,0,0,2.9807357788085938,0,0.0,2.529665470123291,,2,1.7251065969467163,9.666666666666666,0,0,0,0,0,,0.5040640234947205
31,18.193861961364746,6.333333333333333,0,0,1,0,1.8028564453125,0,2,4,0.0,0,0,0,3.010169506072998,0,9.0,1.6197835206985474,,1,0.9439781904220581,0.0,0,0,0,0,0,,0.5034880042076111
32,18.792524337768555,4.333333333333333,0,1,0,0,9.779593467712402,0,0,6,10.333333333333334,1,0,0,3.0679931640625,0,0.0,4.332223892211914,,1,1.156899094581604,11.666666666666666,0,1,1,1,0,,0.5040426850318909
33,19.390997171401978,7.0,0,1,1,0,8.927298545837402,0,6,10,26.333333333333332,0,0,0,3.0833332538604736,0,9.0,4.466397762298584,,1,2.349799633026123,0.0,0,0,1,0,0,,0.5034453272819519
34,20.000712156295776,7.0,0,1,0,0,1.5321956872940063,0,1,3,0.0,0,0,0,3.0976743698120117,0,0.0,1.5265181064605713,,1,1.1131150722503662,0.0,0,0,0,0,0,,0.5040426850318909
35,20.60918426513672,0.0,0,3,0,0,2.7178587913513184,0,1,4,0.0,0,0,0,3.0976743698120117,0,0.0,2.7015421390533447,,0,1.6869468688964844,0.0,0,0,0,0,0,,0.5034239888191223
36,21.207675218582153,10.333333333333334,0,0,0,0,6.841900825500488,0,4,6,15.666666666666666,0,0,0,3.0650887489318848,0,0.0,2.5435116291046143,,1,1.3466877937316895,0.0,0,0,1,0,0,,0.5039146542549133
37,21.80625081062317,0.0,0,0,1,1,40.597129821777344,0,4,9,0.0,2,0,0,3.0650887489318848,0,11.0,3.7683372497558594,,0,1.3893766403198242,10.666666666666666,0,1,0,0,0,,0.5034026503562927
38,22.404730796813965,0.0,0,0,0,0,4.005178928375244,0,4,7,0.0,2,0,0,3.0650887489318848,0,0.0,2.886708974838257,,0,1.2677379846572876,10.333333333333334,0,0,0,1,0,,0.5039359927177429
39,23.003193616867065,10.333333333333334,0,0,1,0,2.543928861618042,0,1,5,0.0,0,0,0,2.9830949306488037,0,9.0,2.358647346496582,,3,1.5353820323944092,0.0,0,0,0,0,0,,0.5033599734306335
40,23.60166311264038,5.0,0,0,0,0,3.3643200397491455,0,3,5,0.0,0,0,0,3.0204081535339355,0,0.0,2.261033296585083,,1,1.1459406614303589,0.0,0,0,0,1,0,,0.5038719773292542
41,24.20018219947815,0.0,0,0,1,0,4.203965187072754,0,5,7,0.0,0,0,0,3.0204081535339355,0,7.666666666666667,2.917555332183838,,0,1.2738699913024902,0.0,0,0,0,1,0,,0.5033599734306335
42,24.809982299804688,12.333333333333334,0,1,0,0,8.405383110046387,0,2,7,17.0,1,0,0,2.974421501159668,0,0.0,3.9061458110809326,,1,1.6540671586990356,9.0,0,1,1,0,0,,0.5040213465690613
43,25.408513069152832,0.0,0,1,0,0,0.8601988554000854,0,0,1,0.0,0,0,0,2.974421501159668,0,0.0,0.8545370101928711,,0,0.5046914219856262,0.0,0,0,0,0,0,,0.5035093426704407
44,26.008224487304688,0.0,0,0,0,0,0.49853330850601196,0,2,2,0.0,0,0,0,2.974421501159668,0,0.0,0.4985245168209076,,0,0.48468852043151855,0.0,0,0,0,0,0,,0.5037866830825806
45,26.606703758239746,5.666666666666667,0,2,1,0,4.499333381652832,0,2,8,0.0,1,0,0,3.0023865699768066,0,9.0,4.239980697631836,,1,2.191408157348633,7.666666666666667,0,1,0,0,0,,0.5034666657447815
46,27.205678462982178,7.666666666666667,0,0,0,0,5.978973388671875,0,0,2,11.0,0,0,0,3.0081300735473633,0,0.0,1.6042132377624512,,1,0.4134436547756195,0.0,0,0,1,0,0,,0.5044906735420227
47,27.80367422103882,5.666666666666667,0,1,0,0,2.9747116565704346,0,3,7,0.0,1,0,0,3.059217691421509,0,0.0,2.9528329372406006,,2,2.154489278793335,9.666666666666666,0,0,0,0,0,,0.5034453272819519
48,28.402278423309326,5.666666666666667,0,0,0,0,8.444458961486816,0,0,4,26.333333333333332,0,0,0,3.0833332538604736,0,0.0,3.04514479637146,,1,0.5136115550994873,0.0,0,1,1,1,0,,0.5040213465690613
