Counter,Time,PM2.5,PM10
1,0.5993664264678955,1.5,2.7
3,1.7958710193634033,1.5,2.6
5,2.9945547580718994,1.4,2.3
7,4.192990064620972,1.4,2.3
9,5.391127824783325,1.5,2.5
11,6.59484338760376,1.5,2.5
13,7.79899787902832,1.5,2.3
15,8.998521327972412,1.5,2.2
17,10.196823120117188,1.6,2.2
19,11.400463104248047,1.8,2.7
21,12.598724126815796,2.5,3.7
23,13.797032356262207,3.6,5.3
25,15.009386539459229,5.4,7.6
27,16.218581676483154,6.5,9.0
29,17.43309783935547,7.6,10.3
31,18.64022660255432,10.7,14.5
33,19.85118079185486,14.0,18.4
35,21.04988169670105,14.6,19.2
37,22.249006271362305,15.3,20.1
39,23.448824644088745,17.8,22.9
41,24.670426845550537,21.2,27.1
43,25.869170427322388,26.1,33.1
45,27.06716299057007,31.0,39.3
47,28.27887201309204,36.1,45.5
49,29.489907026290894,44.3,54.4
51,30.68815851211548,53.8,65.2
53,31.90892744064331,64.3,77.7
55,33.11939191818237,72.9,88.1
57,34.31908464431763,80.7,97.0
59,35.52161526679993,85.9,103.5
61,36.72861433029175,90.5,109.3
63,37.94300556182861,95.0,115.3
65,39.14913463592529,104.5,126.0
67,40.349701166152954,115.2,138.4
69,41.56283640861511,127.7,152.4
71,42.774839639663696,143.1,168.4
73,43.971355676651,156.3,184.2
75,45.170653343200684,167.4,197.1
77,46.375109910964966,177.5,209.0
79,47.575847864151,190.1,222.4
81,48.77778387069702,200.1,234.0
83,49.995744705200195,213.9,247.8
85,51.19436836242676,229.4,263.3
87,52.400272369384766,244.8,279.5
89,53.60965085029602,262.5,297.6
91,54.82186031341553,276.1,310.8
93,56.019521951675415,285.1,320.7
95,57.231773376464844,295.7,332.5
97,58.43645143508911,303.8,341.6
99,59.658403396606445,314.1,353.2
101,60.884185552597046,321.9,362.0
103,62.09989070892334,334.9,376.4
105,63.29717302322388,344.1,386.7
107,64.50042963027954,351.1,394.5
109,65.71385049819946,359.8,404.2
111,66.92828559875488,363.2,408.1
113,68.126549243927,372.1,417.9
115,69.338796377182,381.0,427.7
117,70.5395917892456,388.9,436.6
119,71.74164247512817,395.3,443.7
121,72.94359135627747,405.0,454.5
123,74.14565587043762,419.0,469.9
125,75.35871887207031,431.3,483.6
127,76.56450366973877,437.8,490.8
129,77.76748871803284,442.5,495.9
131,78.96447467803955,447.5,501.6
133,80.16308188438416,457.8,512.8
